연도,국가명,구분,계,적,공
2020,이탈리아,출항,48541.5,47897.5,644.0
2020,인도,출항,130510.75,129251.75,1259.0
2020,인도네시아,출항,87049.25,84510.75,2538.5
2020,일본,출항,439522.0,330106.75,109415.25
2020,자메이카,출항,3323.0,3187.0,136.0
2020,적도 기니,출항,6.0,6.0,0.0
2020,조지아,출항,404.0,386.0,18.0
2020,중국,출항,1158596.25,605342.25,553254.0
2020,지부티,출항,334.0,334.0,0.0
2020,지브롤터,출항,1.0,1.0,0.0
2020,칠레,출항,27715.0,16488.0,11227.0
2020,카메룬,출항,326.0,326.0,0.0
2020,카타르,출항,4382.0,4178.0,204.0
2020,캄보디아,출항,5260.25,5260.25,0.0
2020,캐나다,출항,120916.0,120202.0,714.0
2020,케냐,출항,2134.0,2129.0,5.0
2020,케이맨 제도,출항,2.0,2.0,0.0
2020,코모로,출항,6.0,6.0,0.0
2020,코스타리카,출항,806.0,606.0,200.0
2020,코트디부아르,출항,691.0,691.0,0.0
2020,콜롬비아,출항,16058.0,13520.0,2538.0
2020,콩고,출항,263.0,263.0,0.0
2020,콩고 민주 공화국,출항,405.0,405.0,0.0
2020,쿠바,출항,273.0,273.0,0.0
2020,쿠웨이트,출항,1127.0,1127.0,0.0
2020,크로아티아,출항,8577.25,8567.25,10.0
2020,키리바시,출항,42.0,38.0,4.0
2020,키프로스,출항,133.0,133.0,0.0
2020,탄자니아,출항,2177.0,2177.0,0.0
2020,태국,출항,101437.0,87099.0,14338.0
2020,토고,출항,1979.0,1979.0,0.0
2020,통가,출항,75.0,29.0,46.0
2020,튀니지,출항,792.0,792.0,0.0
2020,튀르키예,출항,88383.25,88119.25,264.0
2020,트리니다드 토바고,출항,627.0,627.0,0.0
2020,파나마,출항,26774.5,14825.0,11949.5
2020,파라과이,출항,108.0,108.0,0.0
2020,파키스탄,출항,14317.0,14310.0,7.0
2020,파푸아 뉴기니,출항,940.0,846.0,94.0
2020,팔라우,출항,92.0,62.0,30.0
2020,페루,출항,15254.0,11434.0,3820.0
2020,포르투갈,출항,3052.0,3046.0,6.0
2020,폴란드,출항,8398.0,8398.0,0.0
2020,푸에르토리코,출항,328.0,328.0,0.0
2020,프랑스,출항,15623.0,14831.0,792.0
2020,프랑스령 기아나,출항,11.0,11.0,0.0
2020,프랑스령 폴리네시아,출항,70.0,70.0,0.0
2020,피지,출항,504.0,439.0,65.0
2020,핀란드,출항,479.0,479.0,0.0
2020,필리핀,출항,43610.0,41632.0,1978.0
2020,헝가리,출항,74.0,74.0,0.0
2020,호주,출항,64256.0,59858.0,4398.0
2020,홍콩,출항,76334.0,73762.75,2571.25
2020,가나,환적,1798.5,1798.5,0.0
2020,가봉,환적,984.0,984.0,0.0
2020,가이아나,환적,4860.0,4860.0,0.0
2020,감비아,환적,134.0,134.0,0.0
2020,과들루프,환적,182.0,182.0,0.0
2020,과테말라,환적,21203.75,21199.75,4.0
2020,괌,환적,7258.25,6411.25,847.0
2020,그레나다,환적,474.0,474.0,0.0
2020,그리스,환적,16204.25,14742.25,1462.0
2020,기니,환적,227.0,227.0,0.0
2020,기니비사우,환적,4.0,4.0,0.0
2020,기타국가,환적,15.0,15.0,0.0
2020,나미비아,환적,740.0,740.0,0.0
2020,나우루,환적,34.0,34.0,0.0
2020,나이지리아,환적,2827.0,2795.0,32.0
2020,남아프리카,환적,10854.0,10272.0,582.0
2020,네덜란드,환적,59197.75,57929.75,1268.0
2020,노르웨이,환적,2314.25,2314.25,0.0
2020,뉴질랜드,환적,45156.0,39999.0,5157.0
2020,뉴칼레도니아,환적,10485.0,9849.0,636.0
2020,니카라과,환적,5907.5,5907.5,0.0
2020,대만,환적,164725.5,159318.25,5407.25
2020,대한민국,환적,299790.5,285006.5,14784.0
2020,덴마크,환적,4469.0,4469.0,0.0
2020,도미니카 공화국,환적,19484.0,19484.0,0.0
2020,도미니카 연방,환적,83.25,83.25,0.0
2020,독일,환적,65379.5,62155.5,3224.0
2020,동티모르,환적,44.0,44.0,0.0
