연도,국가명,수입,수출,환적,전체물동량
2021,미국,735726.75,910698.75,1649876.75,3296302.25
2021,미국령 버진아일랜드,0.0,5.0,47.0,52.0
2021,미얀마,4132.0,224.0,1908.0,6264.0
2021,미크로네시아,131.0,320.0,1457.0,1908.0
2021,바누아투,1879.0,319.0,4522.0,6720.0
2021,바레인,2588.0,556.0,541.0,3685.0
2021,바베이도스,0.0,21.0,1024.0,1045.0
2021,바하마,3.0,14442.0,54160.5,68605.5
2021,방글라데시,7320.0,2107.0,7494.75,16921.75
2021,버뮤다,0.0,0.0,2.0,2.0
2021,베냉,27.0,80.0,206.0,313.0
2021,베네수엘라,381.0,431.0,11877.0,12689.0
2021,베트남,164976.0,243607.0,219084.0,627667.0
2021,벨기에,43211.0,25361.25,36566.0,105138.25
2021,벨리즈,0.0,34.0,1268.0,1302.0
2021,볼리비아,0.0,0.0,0.0,0.0
2021,북마리아나 제도,9795.5,1090.0,1730.25,12615.75
2021,불가리아,914.25,433.0,1878.0,3225.25
2021,브라질,38115.0,60081.0,130221.0,228417.0
2021,브루나이,22.0,5.0,171.0,198.0
2021,사모아,2644.0,269.0,3183.0,6096.0
2021,사우디아라비아,22533.75,39112.0,28281.25,89927.0
2021,상투메 프린시페,0.0,0.0,2.0,2.0
2021,세네갈,1194.0,654.0,874.0,2722.0
2021,세르비아,2.0,0.0,0.0,2.0
2021,세이셸,103.0,134.0,27.0,264.0
2021,세인트 빈센트 그레나딘,0.0,0.0,87.0,87.0
2021,세인트루시아,8.0,27.0,214.0,249.0
2021,세인트키츠 네비스,0.0,3.0,86.0,89.0
2021,소말리아,34.0,101.0,69.0,204.0
2021,솔로몬제도,56.0,272.0,1668.0,1996.0
2021,수단,424.0,24.0,2155.0,2603.0
2021,수리남,401.0,36.0,2399.0,2836.0
2021,스리랑카,4812.0,11074.25,4769.0,20655.25
2021,스웨덴,15079.0,5055.0,12026.0,32160.0
2021,스위스,15.0,0.0,0.0,15.0
2021,스페인,44959.25,38003.0,56063.25,139025.5
2021,슬로베니아,15925.75,109109.0,18016.5,143051.25
2021,시리아,1.0,256.0,449.0,706.0
2021,시에라 리온,165.0,54.0,145.0,364.0
2021,싱가포르,65197.25,74986.0,93313.5,233496.75
2021,아랍에미리트연합국,65359.0,59437.75,59885.5,184682.25
2021,아루바,10.0,103.0,225.75,338.75
2021,아르헨티나,7962.0,6299.0,21900.0,36161.0
2021,아메리칸사모아,937.0,629.0,1348.0,2914.0
2021,아이슬란드,12.0,0.0,58.0,70.0
2021,아이티,93.0,181.0,1805.0,2079.0
2021,아일랜드,2152.0,366.0,1663.0,4181.0
2021,알바니아,2367.0,119.0,949.0,3435.0
2021,알제리,8.0,1768.25,2540.5,4316.75
2021,앙골라,56.0,1234.0,108.0,1398.0
