입출항구분,국가명,연도,물동량
입항환적,쿠웨이트,2020,473.0
입항환적,퀴라소,2020,13.0
입항환적,크로아티아,2020,1111.0
입항환적,키리바시,2020,18.0
입항환적,키프로스,2020,199.0
입항환적,탄자니아,2020,211.0
입항환적,태국,2020,99174.5
입항환적,토고,2020,50.0
입항환적,통가,2020,46.0
입항환적,튀니지,2020,114.0
입항환적,튀르키예,2020,28640.0
입항환적,트리니다드 토바고,2020,226.0
입항환적,파나마,2020,24258.75
입항환적,파라과이,2020,301.0
입항환적,파키스탄,2020,12901.5
입항환적,파푸아 뉴기니,2020,161.0
입항환적,팔라우,2020,5.0
입항환적,페로 제도,2020,4.0
입항환적,페루,2020,27772.0
입항환적,포르투갈,2020,3020.25
입항환적,폴란드,2020,1972.0
입항환적,푸에르토리코,2020,1858.0
입항환적,프랑스,2020,17877.0
입항환적,프랑스령 폴리네시아,2020,63.0
입항환적,피지,2020,461.0
입항환적,핀란드,2020,13703.0
입항환적,필리핀,2020,84358.75
입항환적,헝가리,2020,14.0
입항환적,호주,2020,100677.5
입항환적,홍콩,2020,36836.25
출항환적,가나,2020,1253.5
출항환적,가봉,2020,58.0
출항환적,가이아나,2020,2611.0
출항환적,감비아,2020,120.0
출항환적,과들루프,2020,168.0
출항환적,과테말라,2020,16396.75
출항환적,괌,2020,3908.5
출항환적,그레나다,2020,474.0
출항환적,그리스,2020,11596.25
출항환적,기니,2020,225.0
출항환적,나미비아,2020,682.0
출항환적,나우루,2020,34.0
출항환적,나이지리아,2020,1494.0
출항환적,남아프리카,2020,3289.0
출항환적,네덜란드,2020,27419.25
출항환적,노르웨이,2020,267.0
출항환적,뉴질랜드,2020,16099.0
출항환적,뉴칼레도니아,2020,4769.0
출항환적,니카라과,2020,2169.5
출항환적,대만,2020,93732.75
출항환적,대한민국,2020,195619.5
출항환적,덴마크,2020,1932.0
출항환적,도미니카 공화국,2020,18614.0
출항환적,도미니카 연방,2020,83.25
출항환적,독일,2020,27118.0
출항환적,동티모르,2020,6.0
출항환적,라이베리아,2020,43.0
출항환적,라트비아,2020,237.0
출항환적,러시아,2020,231039.75
출항환적,레바논,2020,2028.75
출항환적,레위니옹,2020,3.0
출항환적,루마니아,2020,3760.75
출항환적,리비아,2020,948.25
출항환적,리투아니아,2020,430.0
출항환적,마다가스카르,2020,196.0
출항환적,마르티니크,2020,110.0
출항환적,마샬 제도,2020,1629.0
출항환적,마요트,2020,0.0
출항환적,마카오,2020,12.0
출항환적,말레이시아,2020,51257.5
출항환적,멕시코,2020,246308.75
출항환적,모로코,2020,3160.75
출항환적,모리셔스,2020,212.0
출항환적,모리타니,2020,87.0
출항환적,모잠비크,2020,631.0
출항환적,몬테네그로,2020,93.25
출항환적,몰디브,2020,38.0
출항환적,몰타,2020,417.0
출항환적,미국,2020,1096340.75
출항환적,미국령 버진아일랜드,2020,34.0
출항환적,미얀마,2020,1235.0
출항환적,미크로네시아,2020,1723.0
출항환적,바누아투,2020,4476.0
출항환적,바레인,2020,37.0
출항환적,바베이도스,2020,1264.0
출항환적,바하마,2020,90444.25
출항환적,방글라데시,2020,410.0
출항환적,버뮤다,2020,0.0
출항환적,베냉,2020,71.0
출항환적,베네수엘라,2020,9226.5
출항환적,베트남,2020,101706.25
출항환적,벨기에,2020,11303.25
출항환적,벨리즈,2020,169.0
출항환적,볼리비아,2020,6.0
출항환적,북마리아나 제도,2020,1087.5
출항환적,불가리아,2020,602.0
출항환적,브라질,2020,47529.0
출항환적,브루나이,2020,10.0
출항환적,사모아,2020,2776.0
출항환적,사우디아라비아,2020,22463.5
출항환적,상투메 프린시페,2020,0.0
출항환적,세네갈,2020,314.0
출항환적,세이셸,2020,6.0
출항환적,세인트 빈센트 그레나딘,2020,124.0
출항환적,세인트루시아,2020,243.0
출항환적,세인트키츠 네비스,2020,40.0
출항환적,소말리아,2020,42.0
출항환적,솔로몬제도,2020,2839.0
출항환적,수단,2020,979.0
출항환적,수리남,2020,4195.0
출항환적,스리랑카,2020,571.0
출항환적,스웨덴,2020,2009.0
출항환적,스페인,2020,21080.5
출항환적,슬로베니아,2020,6040.0
