연도,월,국가명,수입,수출,환적,전체물동량
2020,1,카메룬,4.0,43.0,7.0,54.0
2020,1,카보 베르데,0.0,0.0,2.0,2.0
2020,1,카타르,492.0,285.0,441.0,1218.0
2020,1,캄보디아,193.0,334.0,606.25,1133.25
2020,1,캐나다,5510.25,9512.25,33574.0,48596.5
2020,1,케냐,34.0,242.0,85.0,361.0
2020,1,케이맨 제도,0.0,0.0,3.0,3.0
2020,1,코스타리카,218.0,19.0,1115.0,1352.0
2020,1,코트디부아르,4.0,44.0,5.0,53.0
2020,1,콜롬비아,561.0,1260.0,7755.75,9576.75
2020,1,콩고,1.0,19.0,0.0,20.0
2020,1,콩고 민주 공화국,2.0,8.0,0.0,10.0
2020,1,쿠바,0.0,6.0,196.0,202.0
2020,1,쿠웨이트,54.0,97.0,83.0,234.0
2020,1,크로아티아,84.0,326.0,309.75,719.75
2020,1,키리바시,248.0,0.0,184.0,432.0
2020,1,키프로스,15.0,2.0,32.0,49.0
2020,1,탄자니아,134.0,224.0,10.0,368.0
2020,1,태국,5936.0,8752.5,16567.75,31256.25
2020,1,토고,120.0,104.0,6.0,230.0
2020,1,통가,454.0,6.0,100.0,560.0
2020,1,튀니지,53.0,80.0,194.5,327.5
2020,1,튀르키예,2341.25,6015.0,5330.0,13686.25
2020,1,트리니다드 토바고,78.0,36.0,276.0,390.0
2020,1,파나마,3832.0,2959.5,11655.0,18446.5
2020,1,파라과이,5.0,4.0,94.0,103.0
2020,1,파키스탄,1156.75,924.0,1564.5,3645.25
2020,1,파푸아 뉴기니,39.0,46.0,377.0,462.0
2020,1,팔라우,2.0,8.0,0.0,10.0
2020,1,페루,1682.0,1225.0,7905.0,10812.0
2020,1,포르투갈,268.0,188.0,195.0,651.0
2020,1,폴란드,969.25,755.0,402.0,2126.25
2020,1,푸에르토리코,252.0,9.0,568.0,829.0
2020,1,프랑스,2332.0,1160.0,1820.0,5312.0
2020,1,프랑스령 기아나,2.0,2.0,0.0,4.0
2020,1,프랑스령 폴리네시아,168.0,3.0,94.0,265.0
2020,1,피지,87.0,45.0,436.0,568.0
2020,1,핀란드,634.0,51.0,825.0,1510.0
2020,1,필리핀,5184.0,4025.25,9662.5,18871.75
