,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공
합계,"1,864,930","1,602,184","262,747","22,706,124","19,545,081","3,161,043","1,740,410","1,437,904","302,506","22,076,785","18,706,088","3,370,697","1,916,583","1,588,144","328,439","23,152,998","19,255,132","3,897,866","2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092","2,086,549","1,720,674","365,875","24,882,345","20,414,363","4,467,982"
알제리,566,566,0,"4,317","4,307",10,214,213,1,"4,859","4,854",5,672,142,530,"6,031","2,320","3,711",355,127,228,"5,233","2,266","2,967",664,630,34,"5,680","5,408",272
앙골라,12,12,0,"1,398","1,398",0,105,81,24,"1,349","1,320",29,51,51,0,747,747,0,46,46,0,514,514,0,67,67,0,"1,000","1,000",0
앤티가 바부다,13,13,0,171,171,0,7,7,0,262,262,0,300,300,0,"3,156","3,156",0,226,226,0,"3,182","3,182",0,538,538,0,"6,268","6,244",24
앤틸리스제도,18,18,0,535,535,0,70,70,0,858,857,1,399,395,4,"5,366","5,168",198,460,431,29,"4,771","4,555",216,85,85,0,"2,138","2,138",0
앵귈라,2,2,0,6,6,0,,,,25,25,0,21,21,0,717,717,0,120,120,0,"1,320","1,320",0,5,5,0,167,167,0
에리트레아,,,,8,8,0,3,3,0,6,6,0,"1,139","1,139",0,"6,904","6,851",53,247,247,0,"4,913","4,912",1,39,39,0,441,441,0
에스토니아,647,647,0,"4,662","4,654",8,594,594,0,"4,938","4,938",0,271,271,0,"1,740","1,739",1,137,137,0,"2,879","2,879",0,,,,2,2,0
에콰도르,"9,624","7,285","2,339","117,176","89,123","28,053","9,597","7,715","1,882","137,858","107,283","30,575",14,14,0,329,329,0,15,15,0,222,222,0,,,,3,3,0
에티오피아,,,,,,,,,,2,2,0,77,77,0,"1,516","1,516",0,37,37,0,795,795,0,603,598,5,"5,176","5,149",27
엘살바도르,942,942,0,"10,843","9,638","1,205",659,657,2,"9,380","9,359",21,,,,2,2,0,,,,,,,"11,858","8,893","2,965","141,063","111,036","30,026"
영국,"3,382","3,314",68,"83,657","75,472","8,185","5,320","5,046",274,"47,921","46,802","1,119",,,,4,4,0,,,,53,2,51,"2,016","1,981",35,"20,822","20,453",369
영국령 버진아일랜드,1,1,0,16,16,0,2,2,0,55,55,0,284,284,0,"4,332","4,324",8,324,324,0,"3,736","3,732",4,"5,762","5,232",530,"73,832","60,110","13,722"
예멘,290,290,0,"2,019","2,017",2,96,96,0,"2,811","2,469",342,"13,308","9,774","3,534","160,908","137,237","23,671","11,418","11,046",372,"145,779","119,128","26,651",2,2,0,39,39,0
오만,"1,769","1,647",122,"22,045","16,723","5,322","1,463","1,370",93,"20,667","19,279","1,388","1,615","1,615",0,"15,256","15,160",96,"1,713","1,700",13,"18,619","17,996",623,63,63,0,872,673,199
오스트리아,,,,4,4,0,,,,,,,"6,565","5,493","1,072","87,023","75,763","11,260","7,834","7,504",330,"93,750","85,574","8,176",894,875,19,"12,681","12,254",427
온두라스,815,815,0,"8,307","7,547",760,626,626,0,"9,977","9,977",0,6,6,0,81,81,0,5,5,0,82,82,0,2,2,0,128,128,0
왈리스 푸투나,,,,2,2,0,,,,3,3,0,630,630,0,"1,657","1,657",0,58,58,0,"1,078",965,113,"1,858","1,858",0,"18,025","17,162",863
요르단,"1,133","1,064",69,"8,654","8,126",528,"1,020",816,204,"11,651","10,211","1,440","4,147","4,067",80,"29,101","26,313","2,788","1,180","1,058",122,"22,204","20,344","1,860",8,6,2,53,51,2
우간다,,,,,,,,,,21,21,0,,,,17,17,0,18,18,0,189,189,0,366,311,55,"5,220","4,406",814
우루과이,"1,855","1,686",169,"16,447","15,049","1,398","1,987","1,339",648,"22,567","19,001","3,566",807,807,0,"11,188","11,181",7,"1,139","1,139",0,"12,504","12,504",0,610,610,0,"6,242","5,888",354
우크라이나,"1,332",944,388,"18,947","16,915","2,032",,,,"6,797","6,329",468,,,,8,8,0,1,1,0,2,2,0,,,,2,2,0
원양어획지역,4,4,0,901,901,0,66,66,0,"1,500","1,500",0,962,651,312,"16,618","10,973","5,646",367,358,9,"6,310","5,782",528,118,118,0,"1,559","1,559",0
이라크,133,133,0,"2,250","2,234",16,217,217,0,"4,136","3,874",262,749,741,8,"18,765","15,366","3,399",539,539,0,"7,292","7,152",140,133,133,0,"1,050","1,050",0
이란,5,5,0,"1,349","1,069",280,218,218,0,"2,604","2,193",411,36,36,0,351,351,0,212,212,0,900,900,0,509,509,0,"8,099","6,322","1,777"
이스라엘,"2,616","2,580",36,"38,819","35,422","3,397","5,501","3,912","1,589","48,202","41,450","6,752",60,60,0,"1,074","1,074",0,172,172,0,"1,310","1,310",0,507,507,0,"4,525","4,521",4
이집트,"7,875","6,767","1,108","88,406","74,459","13,947","6,690","6,539",151,"65,929","61,749","4,180",184,182,2,"4,713","3,943",770,"1,129",923,206,"9,220","4,496","4,724","3,295","2,514",781,"56,383","32,573","23,810"
이탈리아,"13,524","13,391",133,"177,005","171,529","5,476","18,323","18,033",290,"189,720","181,702","8,018",395,395,0,"4,814","4,774",40,949,949,0,"5,719","5,719",0,"2,121","2,009",112,"44,784","35,758","9,026"
인도,"31,722","29,912","1,810","402,613","359,999","42,615","33,616","30,041","3,575","385,357","356,319","29,038","3,277","2,047","1,230","66,185","35,875","30,311","5,775","3,495","2,280","67,369","42,329","25,039","12,362","11,685",677,"155,865","143,438","12,427"
